,Column1,NEUE_NAMEN,ADRESSE,Sicherheit,Longitude,Latitude,Quelle,URL
0,0,Kärnthnerthore,"01, Kärntner Straße 51",hoch,16.3705344576716,48.2033034339512,"Wien Geschichte Wiki, Google Maps",https://www.geschichtewiki.wien.gv.at/K%C3%A4rntnertor
1,1,große Wienbrücke,,hoch,16.36890925469498,48.20081827003337,QGIS - Estimation,
2,2,Karlskirche,"04., Karlsplatz 10(KIRCHE)",hoch,16.37186617386608,48.19824509903096,KulturwikiOGD,
3,3,Palais ,"17., Schwarzenbergallee B Obj. 1",sehr niedrig(f),16.27650120252374,48.241954429710525,KulturwikiOGD,
4,4,Schwarzenberg,"17., Schwarzenbergallee B Obj. 1",sehr niedrig(f),16.27650120252374,48.241954429710525,KulturwikiOGD,
5,5,Heugasse,"10., Scheugasse 13",hoch,16.37652060805553,48.19581500938445,QGIS - Estimation,
6,6,Belvedere,"03., Prinz-Eugen-Straße 27 Obj. 8",hoch,16.380340127652488,48.19424811295102,KulturwikiOGD,
7,7,k. k. Gemäldegallerie,Oberes Belvedere,hoch,16.380340127652488,48.19424811295102,KulturwikiOGD,
8,8,Garten für die österreichische Flora,Oberes Belvedere,hoch,16.380340127652488,48.19424811295102,KulturwikiOGD,
9,9,Ambraser Sammlung,"Unteres Belvedere, Rennweg,Nr. 641.",hoch,16.37984013304525,48.19656810152272,KulturwikiOGD,
10,10,Kabinet äghptischer Alterthümer,"Unteres Belvedere, Lokal der Ambraser=Sammlung.",hoch,16.37984013304525,48.19656810152272,KulturwikiOGD,
11,11,unteren Belvedere,"03., Rennweg 6",hoch,16.37984013304525,48.19656810152272,KulturwikiOGD,
12,12,Hauptstraße der Vorstadt ,,,,,,
13,13,Rennweg,"03., Eslarngasse 29",mittel,16.37969495,48.19712841,Steinhausen Gazetteer,
14,14,Kirche und Kloster der  Salesianerinnen,"03., Rennweg",hoch,16.381667,48.195833,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Salesianerinnenkirche_(Wien)&language=de&params=48.195833333333_N_16.381666666667_E_region:AT-9_type:landmark
15,15,MiIitär=Medikamenten=Regie,,,,,,
16,16,botanischen Garten.,"03., Jacquingasse 8-10(NIEDERL.BOTSCHAFT)",mittel,16.383468107371698,48.19080212731889,KulturwikiOGD,
17,17,ViIIa Metternich,,hoch,16.38449372591442,48.19661331074288,QGIS - Estimation,
18,18,Neustädter Kanal,,hoch,16.38648901366606,48.19493379573436,QGIS - Estimation,
19,19,Palais der italienischen Garde,,mittel,16.38971179011791,48.19573049956552,QGIS - Estimation,
20,20,Haltergasse,"19., Boschstraße 19/64",hoch,16.39068825325106,48.1965582391848,QGIS - Estimation,
21,21,Versuchsgarten den Landwirthschaftsgesellschaft,,mittel,16.39301232862841,48.19710638451503,QGIS - Estimation,
22,22,Garten der Gartenbaugesellschaft,,mittel,16.39412925183372,48.19720023254386,QGIS - Estimation,
23,23,Kanal,(Neustädter Kanal),,,,,
24,24,Thierarznei=Jnstitut,,hoch,16.38581483442277,48.20191919799326,QGIS - Estimation,
25,25,Kanonenbohrerei,,mittel,16.38462925948386,48.20399234448126,QGIS - Estimation,
26,26,Münzhaus,"03., Am Heumarkt 1; Hauptgebäude der Münze Österreich",hoch,16.382746,48.203598,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Hauptgeb%C3%A4ude_der_M%C3%BCnze_%C3%96sterreich&language=de&params=48.203598_N_16.382746_E_region:AT-9_type:landmark
27,27,Jnvalidenhause,,hoch,16.3865,48.2064,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Invalidenhaus_(Wien)&language=de&params=48.2064_N_16.3865_E_region:AT-9_type:landmark
28,28,Wienbrücke,"andere als große Wienbrücke, verläuft über Neustädter Kanal",hoch,16.38195442809274,48.20672665442643,QGIS - Estimation,
29,29,Stubenthor ,"01., Wollzeile 17",hoch,16.37858988,48.20773869,Steinhausen Gazetteer,
30,30,Stadt London,"02., Kratky-Baschik-Weg STAENDE",sehr niedrig (f),16.399143826918255,48.21695204826322,KulturwikiOGD,
31,31,Hauptmauth,,hoch,16.37997332711235,48.20998039946321,QGIS - Estimation,
32,32,goldene Ente,Schulenstraße,hoch,16.37694765,48.20756427,Steinhausen Gazetteer,
33,33,König von Ungarn,auch Schulenstraße,mittel,16.375541269077072,48.20820990827117,geschätzt!,
34,34,Schulenstraße,"01., Wollzeile 12/2",hoch,16.375541269077072,48.20820990827117,KulturwikiOGD,
35,35,Herrnals,"17., Promenadegasse 22/5",niedrig,16.29294515530563,48.23140778909098,KulturwikiOGD,
36,36,Türkenschanze,"18., Türkenschanzpark P TEMPORAERER MARKT",niedrig,16.333559875623802,48.23511373039098,KulturwikiOGD,
37,37,Dornbach,,,,,,
38,38,Parke des  Fürsten Schwarzenberg,,niedrig,16.274722,48.246944,"Wikipedia, GeoHack",
39,39,Hameau,"19., Hameaustraße 31",niedrig,16.293139195977368,48.25192171922327,KulturwikiOGD,
