FID,OBJECTID,SHAPE,ADRESSE,ANDERE_BEZEICHNUNG,ART_DER_ORGANISATION,ART_DES_BAUWERKS,ART_DES_EREIGNISSES,ART_DES_OBJEKTS,BENANNT_NACH,BEZIRK,BEZIRK_TXT,DATUM_BIS,DATUM_VON,EINLAGEZAHL,FRUEHERE_BEZEICHNUNG,KATEGORIE,KATEGORIE_TXT,LAGE,NAME_SEIT,PAGEID,PROMINENTE_BEWOHNER,PROMINENTE_PERSONEN,SEITENNAME,STADTPLAN,WEBLINK1,SE_ANNO_CAD_DATA
KULTURWIKIOGD.294006,294006,POINT (16.24449608644173 48.20765995647323),"14., Mondweg 91",,,,,Grünfläche,Franz Sauer,14,14,,,,,0,topografische_objekte,Wolfersberg,,24895,,,Franz-Sauer-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=24895,
KULTURWIKIOGD.294007,294007,POINT (16.258093352548578 48.19709893851195),"13., Rußpekgasse 3",,,,,Grünfläche,Franz Schimon,13,13,,,,,0,topografische_objekte,Hacking,,45236,,,Franz-Schimon-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=45236,
KULTURWIKIOGD.294008,294008,POINT (16.26067781801285 48.182308544859616),"13., Schweizertalstraße 29D",,,,,Grünfläche,Franz Schmidt,13,,,,,,0,topografische_objekte,,,31479,,,Franz-Schmidt-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=31479,
KULTURWIKIOGD.294009,294009,POINT (16.338812997907947 48.188874975260035),"15., U-Bahn-Bogen 1",,,,,Grünfläche,Franz Schwarz (Politiker),15,6,,,,,0,topografische_objekte,,,24979,,,Franz-Schwarz-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=24979,
KULTURWIKIOGD.294010,294010,POINT (16.39077256132719 48.22313059046534),"02., Nordbahnstraße 49",,,,,Grünfläche,Franziska Danneberg-Löw,2,2,,,,,0,topografische_objekte,,,48667,,,Franziska-Löw-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=48667,
KULTURWIKIOGD.294011,294011,POINT (16.41453935110303 48.18781930244557),"03., Franzosengraben 9(BETRIEB)",,,,,Sonstiges,,3,3,,,,,0,TopografischeObjekte,,1896,24798,,,Franzosengraben,1,https://www.geschichtewiki.wien.gv.at/?curid=24798,
KULTURWIKIOGD.294012,294012,POINT (16.3640052167044 48.200571092712515),"06., Lehargasse 3",,,,,Sonstiges,,6,6,,,,,0,TopografischeObjekte,Vorstadt Laimgrube,,25328,,,Fraueneck,1,https://www.geschichtewiki.wien.gv.at/?curid=25328,
KULTURWIKIOGD.294013,294013,POINT (16.41145392417485 48.25154249013298),"21., Freiligrathplatz 5",,,,,Grünfläche,Ferdinand Freiligrath,21,21,,,,,0,topografische_objekte,,,44550,,,Freiligrathpark,1,https://www.geschichtewiki.wien.gv.at/?curid=44550,
KULTURWIKIOGD.294014,294014,POINT (16.446681395097844 48.186595418366075),"02., Freudenau 65 RENNPLATZ",,,,,Sonstiges,,2,2,,,,,0,TopografischeObjekte,,,26635,,,Freudenau,1,https://www.geschichtewiki.wien.gv.at/?curid=26635,
KULTURWIKIOGD.294015,294015,POINT (16.467792124205424 48.17804390467805),"02., Freudenauer Hafenstraße 14A",,,,,Sonstiges,,2,,,,,,0,topografische_objekte,Donauhafen,,11207,,,Freudenauer Hafen,1,https://www.geschichtewiki.wien.gv.at/?curid=11207,
KULTURWIKIOGD.294016,294016,POINT (16.282000687757808 48.14434664786356),"23., Fridtjof-Nansen-Park MA45",,,,,Grünfläche,Fridtjof Nansen,23,23,,,,,0,topografische_objekte,,,44553,,,Fridtjof-Nansen-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=44553,
KULTURWIKIOGD.294017,294017,POINT (16.264018903162167 48.16836839305608),"13., Friedensstadtgasse 7","Kriegsinvalidensiedlung ""Friedensstadt""",,,,Sonstiges,Siedlungswilligen Kriegsversehrten,13,,,,,,0,topografische_objekte,,,26923,,,Friedensstadt,1,https://www.geschichtewiki.wien.gv.at/?curid=26923,
KULTURWIKIOGD.294018,294018,POINT (16.30180626157733 48.16971479272813),"12., Pronaygasse 5",,,,,Grünfläche,Friederike Stoiber,,,,,,,0,topografische_objekte,,,33373,,,Friederike-Stoiber-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=33373,
KULTURWIKIOGD.294019,294019,POINT (16.34625040081343 48.27112676736286),"19., Jungherrnsteig FRIEDHOF",,,,,Friedhof,Kahlenbergerdorf,19,19,,,,,0,TopografischeObjekte,Waldfriedhof; Jungherrnsteig,1783,22924,,,Friedhof Kahlenbergerdorf,1,https://www.geschichtewiki.wien.gv.at/?curid=22924,
KULTURWIKIOGD.294020,294020,POINT (16.382374147284892 48.21588900851525),"02., Johannes-von-Gott-Platz 2",,,,,Friedhof,,2,2,,1655,,,0,TopografischeObjekte,,,26962,,,Friedhof der Barmherzigen Brüder (2),1,https://www.geschichtewiki.wien.gv.at/?curid=26962,
KULTURWIKIOGD.294021,294021,POINT (16.528959391620447 48.18699305558087),,,,,,Friedhof,,,11,,,,,0,TopografischeObjekte,Kaiserebersdorf,,26963,,,"Friedhof der Franzosen (11, Kaiserebersdorf)",1,https://www.geschichtewiki.wien.gv.at/?curid=26963,
KULTURWIKIOGD.294022,294022,POINT (16.38894855369806 48.20248312563306),"03., Pfarrhofgasse 2A/3",,,,,Grünfläche,Friedrich Gulda,3,3,,,,,0,topografische_objekte,,,32984,,,Friedrich-Gulda-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=32984,
KULTURWIKIOGD.294023,294023,POINT (16.41742046917222 48.261224443417206),"21., Leopoldauer Straße 93",,,,,Grünfläche,"Anna Friessnegg, Ludwig Friessnegg",21,21,,,,,0,topografische_objekte,Donaufeld,,31490,,,Friessneggpark,1,https://www.geschichtewiki.wien.gv.at/?curid=31490,
KULTURWIKIOGD.294024,294024,POINT (16.339137705497542 48.18956141848396),"06., Wallgasse 2A",,,,,Grünfläche,Fritz Imhoff,6,6,,,,,0,topografische_objekte,Mollardgasse; Wallgasse,,28050,,,Fritz-Imhoff-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=28050,
KULTURWIKIOGD.294025,294025,POINT (16.38853012565014 48.221552977421474),"02., Darwingasse 37",Figgerl,,,,Gewässer,,2,2,,,,,0,topografische_objekte,,,28597,,,Fugbach (2),1,https://www.geschichtewiki.wien.gv.at/?curid=28597,
KULTURWIKIOGD.294026,294026,POINT (16.343892928105188 48.2170199935932),"09., Zimmermannplatz 5",,,,,Grünfläche,Gabriele Possanner von Ehrenthal,9,9,,,,,0,topografische_objekte,Zimmermannplatz,,44648,,,Gabriele-Possanner-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=44648,
KULTURWIKIOGD.294027,294027,POINT (16.279380675699855 48.23316098975999),"17., Hochweg 22",,,,,Gewässer,,17,,,,,,0,TopografischeObjekte,,,42834,,,Gaisgraben,1,https://www.geschichtewiki.wien.gv.at/?curid=42834,
KULTURWIKIOGD.294028,294028,POINT (16.359266265580995 48.21906900738425),"09., Wasagasse 28/1",Schottenpoint,,,,Grätzel,,9,9,,,,Schottenpoint,0,TopografischeObjekte,Ried vom Strudlhof bis zur Berggasse,1523,1134,,,Gaißruck,1,https://www.geschichtewiki.wien.gv.at/?curid=1134,
KULTURWIKIOGD.294029,294029,POINT (16.27598354056482 48.219412489051564),"16., Johann-Staud-Straße 72(HAUS E)",,,,,Berg,Demetrius Michailowitsch Gallitzin,16,,,,,Predigtstuhl,0,topografische_objekte,Ottakring,,4864,,,Gallitzinberg,1,https://www.geschichtewiki.wien.gv.at/?curid=4864,
KULTURWIKIOGD.294030,294030,POINT (16.396985075689635 48.215856998940886),"02., Prater 97",,,,,Sonstiges,,2,2,,,,,0,TopografischeObjekte,Prater,,6443,,,Gallitzinwiese,1,https://www.geschichtewiki.wien.gv.at/?curid=6443,
KULTURWIKIOGD.294031,294031,POINT (16.35428564463966 48.211677143395384),"08., Wickenburggasse 2",,,,,Grünfläche,,8,10,,,,,0,topografische_objekte,"Oberlaa, Kurpark, Kurbadstraße",,9366,,,Garten der Nationen,1,https://www.geschichtewiki.wien.gv.at/?curid=9366,
KULTURWIKIOGD.294032,294032,POINT (16.320773390331066 48.17387424670111),"12., Schwenkgasse 47 Obj. 11",,,,,Sonstiges,,12,12,,,,,0,topografische_objekte,Obermeidling,,10294,,,Gatterhölzl,1,https://www.geschichtewiki.wien.gv.at/?curid=10294,
KULTURWIKIOGD.294033,294033,POINT (16.26049641168311 48.17864701541501),"13., Josef-Heinzl-Gasse 2 Haus 1",,,,,Berg,,13,13,,,,,0,TopografischeObjekte,Ober-St.-Veit,,16810,,,Gemeindeberg,1,https://www.geschichtewiki.wien.gv.at/?curid=16810,
KULTURWIKIOGD.294034,294034,POINT (16.253058684089858 48.14692441760478),"23., Rysergasse 2(WOTRUBA-KIRCHE)",,,,,Berg,"Georg von Eckartsau,Georg",23,23,,,,,0,TopografischeObjekte,Mauer,,18679,,,Georgenberg,1,https://www.geschichtewiki.wien.gv.at/?curid=18679,
KULTURWIKIOGD.294035,294035,POINT (16.31904280089326 48.2371570883816),"18., Gersthofer Straße 135/5",,,,,Grünfläche,Gerda Lerner,18,18,,,,,0,topografische_objekte,,,54924,,,Gerda-Lerner-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=54924,
KULTURWIKIOGD.294036,294036,POINT (16.34729222006289 48.217018272582706),"09., Lazarettgasse 23",,,,,Grünfläche,Gerda Matejka-Felden,9,,,,,,0,topografische_objekte,,,44842,,,Gerda-Matejka-Felden-Park,1,https://www.geschichtewiki.wien.gv.at/?curid=44842,
KULTURWIKIOGD.294037,294037,POINT (16.26119565591525 48.15557437165708),"23., Im Gereute vor 22",,,,,Sonstiges,"Gereutet (so viel wie abgeholzt, gerodet)",23,23,,,,,0,TopografischeObjekte,Mauer,,19063,,,Gereut,1,https://www.geschichtewiki.wien.gv.at/?curid=19063,
KULTURWIKIOGD.294038,294038,POINT (16.32881391681172 48.231285330738125),"18., Gersthofer Markt Stand 5",,,,,Friedhof,,18,,,,,,0,TopografischeObjekte,,,19687,,,Gersthofer Friedhof,1,https://www.geschichtewiki.wien.gv.at/?curid=19687,
KULTURWIKIOGD.293826,293826,POINT (16.282065619125646 48.2019591366923),"14., Donhartgasse 20",,,,,Friedhof,Baumgarten (Vorort),14,,,,,,0,topografische_objekte,Waidhausenstraße 52 bzw. Ried Unterwaidhausen,,4946,,,Baumgartner Friedhof,1,https://www.geschichtewiki.wien.gv.at/?curid=4946,
KULTURWIKIOGD.293827,293827,POINT (16.271947663322404 48.198873158380586),"14., Linzer Straße 303",,,,,Sonstiges Topografisches Objekt,,14,,,,,,0,topografische_objekte,,,13846,,,Baumgartner Spitz,1,https://www.geschichtewiki.wien.gv.at/?curid=13846,
KULTURWIKIOGD.293828,293828,POINT (16.353112004638117 48.26369377161466),"19., Dennweg 52",,,,,Sonstiges,Ludwig van Beethoven,19,19,,,,,0,TopografischeObjekte,Heiligenstadt,,7893,,,Beethovenaussicht,1,https://www.geschichtewiki.wien.gv.at/?curid=7893,
KULTURWIKIOGD.293829,293829,POINT (16.35253835302424 48.25866682286121),"19., Kahlenberger Straße 65",,,,,Grünfläche,Ludwig van Beethoven,19,19,,,,,0,topografische_objekte,Heiligenstadt,,43829,,,Beethovenpark,1,https://www.geschichtewiki.wien.gv.at/?curid=43829,
KULTURWIKIOGD.293830,293830,POINT (16.351427358794595 48.25900782149392),"19., Frimmelgasse 52",,,,,Grünfläche,Ludwig van Beethoven,19,,,,,,0,topografische_objekte,,,7912,,,Beethovenruhe,1,https://www.geschichtewiki.wien.gv.at/?curid=7912,
KULTURWIKIOGD.293831,293831,POINT (16.369147205161845 48.21065404142453),"01., Seitzergasse 5A",Bei der Hollerstauden,,,,Sonstiges Topografisches Objekt,,1,,,,,,0,topografische_objekte,,,2005,,,Bei den Hollerstauden,1,https://www.geschichtewiki.wien.gv.at/?curid=2005,
KULTURWIKIOGD.293832,293832,POINT (16.36538522466838 48.21173003829951),"01., Freyung 7",,,,,Sonstiges Topografisches Objekt,,1,,,,,,0,topografische_objekte,,,12685,,,Bei den Schotten am Stein,1,https://www.geschichtewiki.wien.gv.at/?curid=12685,
KULTURWIKIOGD.293833,293833,POINT (16.36003524351359 48.20655006666103),"01., Dr.-Karl-Renner-Ring 1 VOR 1 STAENDE",,,,,Passagen,Bellaria (1),1,,,,,,0,topografische_objekte,,,7981,,,Bellariapassage,1,https://www.geschichtewiki.wien.gv.at/?curid=7981,
KULTURWIKIOGD.293834,293834,POINT (16.379775131124713 48.19466811105691),"04., Prinz-Eugen-Straße 30",,,,,Grünfläche,Belvedere,4,3,,,,,0,topografische_objekte,,,43857,,,Belvederegarten,1,https://www.geschichtewiki.wien.gv.at/?curid=43857,
KULTURWIKIOGD.293835,293835,POINT (16.34975154990985 48.15287525902001),"10., Otto-Probst-Straße 13/41",,,,,Gewässer,Bendateich,10,10,,1987,,,0,TopografischeObjekte,,,8151,,,Bendateich,1,https://www.geschichtewiki.wien.gv.at/?curid=8151,
KULTURWIKIOGD.293836,293836,POINT (16.37472517919745 48.211882032188115),"01., Seitenstettengasse 5",,,,,Grätzel,,1,1,,,,,0,TopografischeObjekte,Rabensteig; Ruprechtsplatz; Judengasse,,9740,,,Bermudadreieck,1,https://www.geschichtewiki.wien.gv.at/?curid=9740,
KULTURWIKIOGD.293837,293837,POINT (16.430398930563566 48.22855291834622),"22., Moissigasse 21 Strandbad Gänsehäufel",,,,,Sonstiges Topografisches Objekt,Florian Berndl,22,,,,,,0,topografische_objekte,,,9868,,,Berndlkolonie,1,https://www.geschichtewiki.wien.gv.at/?curid=9868,
