,NEUE_NAMEN_x,ADRESSE,Longitude_x,Latitude_x,Longitude_y,Latitude_y
0,kaiserlichen Zeughauses,,,,,
1,Renngasse Nr. 140,,,,,
2,Renngasse,"01., Renngasse 12",16.367211551082715,48.21277258486223,16.36707232,48.21257081
3,hohe Brücke,"01., Hohe Brücke 120",16.368607210105097,48.21273703123713,,
4,tiefen Graben,"01., Tiefer Graben 12",16.36762957026213,48.212022628343945,16.36860767,48.21273407
5,Schwertgasse,"01., Schwertgasse 2",16.36968259868288,48.21263236404844,,
6,Maria Stiegen,,,,,
7,Salzgries,"01., Salztorgasse 2",16.372856189480476,48.212974028083316,16.37164505,48.21324642
8,Maria am Gestade,"01., Salvatorgasse 12/1",16.371131768915312,48.21243145165297,,
9,Stoß im Himmel,"01., Stoß im Himmel 1",16.37023622465546,48.212049341689465,,
10,Wipplingerstraße,"01., Wipplingerstraße 28",16.367813684995504,48.213098780419266,16.37125552,48.21164561
11,Rathhaus,"01., Rathausplatz 1 Rathaus",16.35728891810624,48.21083297835947,16.37105189,48.2120495
12,Hofkanzlei,,,,,
13,Quergasse,"23., Breitenfurter Straße 381/2",16.288555840039205,48.138134437070605,,
14,Judenplatz,"01., Judenplatz 5",16.36960303229701,48.211563710799744,16.369586,48.21159391
15,den Hof. Kirche zu den  7 Chören der Engel,,,,,
16,bürgerliche Zeughaus,"01., Am Hof 9-10",16.36822221171329,48.211820035847836,,
17,Bognergasse,"01., Naglergasse 6",16.36845048079676,48.21005966698724,16.36809572,48.21021688
18,Seitzerhof,"01., Tuchlauben 7",16.36950668332152,48.210055849959275,,
19,Spenglergasse,"05., Spengergasse 24",16.355792525263226,48.186367364767186,16.36786198,48.21006182
20,Milchgäßchen,,,,,
21,Petersplatz,"01., Petersplatz 3",16.369974493049803,48.20917244550749,,
22,Peterskirche,"01., Petersplatz K KIRCHE",16.370019718040744,48.20944704146257,,
23,PolizeiOberdirektion,"01., Schottenring 7-9",16.363947781177153,48.21495879085676,,
24,Feuerwache,,,,,
25,Goldschmiedgasse,"01., Goldschmiedgasse 6",16.371230888865306,48.20872087849101,,
26,Stephansplatz,"01., Stephansplatz 3",16.37290534149696,48.20810040838734,,
27,Gerolds  Buchhandlung,,,,,
28,Stephansdom,"01., Stephansplatz Tiefgarage",16.373247181361492,48.20841804972867,,
29,Stephansplatz,"01., Stephansplatz 3",16.37290534149696,48.20810040838734,,
30,Bischofgasse,"10., Bischofgasse 1A",16.397510653822437,48.13777268823814,,
31,Wollzeile,"01., Wollzeile 20",16.376389522715947,48.20834155448045,16.37533411,48.20871326
32,Schranders ,,,,16.37217105,48.21109399
33,Kleidermagazin,,,,,
34,BriefPost,,,,,
35,Schaumburgs eleganter Bücherladen,,,,,
36,Essiggäßchen,,,,,
37,Bäckerstraße,"01., Bäckerstraße 18",16.377045447165173,48.20872659105826,,
38,Universitätsplatz,,,,,
39,Universitäts=Gebäude,,,,,
40,Sternwarte,,,,,
41,Konvikt,,,,,
42,Universitätshaus,"09., Spitalgasse 2 Uni-Campus",16.3527672731262,48.21681310237805,16.37723433,48.20918577
43,Schulgasse,"10., Scheugasse 13",16.378672594075592,48.179722812509716,16.37085685,48.2112754
44,Dominkanerplatz,,,,,
45,Universitätsbibllothek,"01., Universitätsring 1 UNIVERSITÄT",16.36085192883249,48.21301274927523,,
46,Fahrpost,,,,,
47,griechische Kirche,,,,,
48,Hauptmauth,,16.37906,48.210195,,
49,Hôtel zur Stadt London,,,,,
50,Währingergasse,"04., Weyringergasse 24",16.37660993287555,48.18851950935964,16.35822875,48.21860117
51,Palais Dietrichstein,,,,,
52,Josephinum,"09., Währinger Straße 25",16.356561962066262,48.21930800044049,,
53,Waisenhaus,"09., Strudlhofgasse 7",16.355685475675617,48.22243948084974,,
