,NEUE_NAMEN_x,ADRESSE,Sicherheit,Longitude_x,Latitude_x,Longitude_Steinhausen,Latitude_Steinhausen,Quelle,URL,Unnamed: 10
0,kaiserlichen Zeughauses,Renngasse Nr. 140,hoch,16.4043687119417,48.1850323033693,,,Google Maps,,
1,Renngasse Nr. 140,Renngasse Nr. 140,hoch,16.4043687119417,48.1850323033693,,,Google Maps,,
2,Renngasse,"01., Renngasse 12",hoch,16.367211551082715,48.21277258486223,,,KulturWikiOGD,,
3,hohe Brücke,"01., Hohe Brücke 120",hoch,16.368607210105097,48.21273703123713,,,KulturWikiOGD,,
4,tiefen Graben,"01., Tiefer Graben 12",mittel,16.36860767,48.21273407,16.36860767,48.21273407,KulturWikiOGD,16.36762957026213,48.212022628343945
5,Schwertgasse,"01., Schwertgasse 2",mittel,16.36968259868288,48.21263236404844,,,KulturWikiOGD,,
6,Maria Stiegen,"Maria am Gestade, 01., Salvatorgasse ",hoch,16.370616,48.21288,,,"Wien Geschichte Wiki, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Maria_am_Gestade&language=de&params=48.21288_N_16.370616_E_region:AT-9_type:landmark,
7,Salzgries,"01., Salztorgasse 2",hoch,16.372856189480476,48.21297402808332,16.37164505,48.21324642,,,
8,Maria am Gestade,"01., Salvatorgasse 12/1",mittel,16.371131768915312,48.21243145165297,,,KulturWikiOGD,,
9,Stoß im Himmel,"01., Stoß im Himmel 1",mittel,16.37023622465546,48.212049341689465,,,KulturWikiOGD,,
10,Wipplingerstraße,"01., Wipplingerstraße 28",niedrig -> Alternative: Koordinaten von Stoß am HImmel,16.37125552,48.21164561,16.37125552,48.21164561,Steinhausen Gazetteer,,
11,Rathhaus,"01., Rathausplatz 1 Rathaus",niedrig (f),16.37105189,48.2120495,16.37105189,48.2120495,16.35728891810624,48.21083297835947,
12,Hofkanzlei,heute: Bundeskanzleramt,niedrig (f),16.36385,48.20841,,,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Bundeskanzleramt_(%C3%96sterreich)&language=de&params=48.20841_N_16.36385_E_dim:44_region:AT-9_type:landmark,
13,Quergasse,"23., Breitenfurter Straße 381/2",niedrig (f),16.288555840039205,48.138134437070605,,,KulturWikiOGD,,
14,Judenplatz,"01., Judenplatz 5",hoch,16.36960303229701,48.211563710799744,,,KulturWikiOGD,,
15,den Hof,"01., Am Hof",hoch,,,,,,,
16,Kirche zu den  7 Chören der Engel,"01., Kirche am Hof",hoch,16.368555,48.210929,,,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Kirche_am_Hof_(Wien)&language=de&params=48.210929_N_16.368555_E_region:AT-9_type:landmark,
17,bürgerliche Zeughaus,"01., Am Hof 9-10",mittel,16.36822221171329,48.21182003584784,,,Steinhausen Gazetteer,,
18,Bognergasse,"01., Naglergasse 6",mittel,16.36845048079676,48.21005966698724,,,KulturWikiOGD,,
19,Seitzerhof,"01., Tuchlauben 7",hoch,16.36950668332152,48.21005584995928,,,KulturWikiOGD,,
20,Spenglergasse,"05., Spengergasse 24",mittel,16.36786198,48.21006182,,,Steinhausen Gazetteer,,
21,Milchgäßchen,"01., Milchgasse",mittel,16.3699235389281,48.210145667741,,,"Wien Geschichte Wiki, GoogleMaps",https://www.geschichtewiki.wien.gv.at/Milchgasse,
22,Petersplatz,"01., Petersplatz 3",mittel,16.369974493049803,48.20917244550749,,,KulturWikiOGD,,
23,Peterskirche,"01., Petersplatz K KIRCHE",mittel,16.370019718040744,48.20944704146257,,,KulturWikiOGD,,
24,PolizeiOberdirektion,"01., Schottenring 7-9",niedrig (f),16.363947781177153,48.21495879085676,,,KulturWikiOGD,,
25,Feuerwache,,,,,,,,,
26,Goldschmiedgasse,"01., Goldschmiedgasse 6",hoch,16.371230888865306,48.20872087849101,,,KulturWikiOGD,,
27,Stephansplatz,"01., Stephansplatz 3",hoch,16.37290534149696,48.20810040838734,,,KulturWikiOGD,,
28,Gerolds  Buchhandlung,Stephansplatz Ecke Goldschmiedgasse,hoch,16.3718276341954,48.2085065307172,,,"Wien Geschichte Wiki, Google Maps",,
29,Stephansdom,"01., Stephansplatz Tiefgarage",hoch,16.373247181361492,48.20841804972867,,,KulturWikiOGD,,
30,Stephansplatz,"01., Stephansplatz 3",hoch,16.37290534149696,48.20810040838734,,,KulturWikiOGD,,
31,Bischofgasse,"10., Bischofgasse 1A",niedrig (f),16.397510653822437,48.13777268823814,,,KulturWikiOGD,,
32,Wollzeile,"01., Wollzeile 20",hoch,16.376389522715947,48.20834155448045,,,KulturWikiOGD,,
