,Entity,Label,NEUE_NAMEN,ADRESSE,Sicherheit,Longitude,Latitude,Quelle,URL
0,Burg,Ort_im_Blickfeld,Burg,Hofburg,hoch,16.366111,48.206389,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Wiener_Karlskirche&language=de&params=48.198247222222_N_16.371422222222_E_region:AT-9_type:landmark
1,Burg,Ort_im_Blickfeld,Burg,Hofburg,hoch,16.366111,48.206389,KulturwikiOGD,
2,Ritter= oder 6 Ceremoniensaal,Ort_auf_Route,RitterCeremoniensaal,entspricht Rittersaal? ,niedrig,,,,
3,Appartements Sr Majestät des Kaisers,Ort_im_Blickfeld,Appartements Sr Majestät des Kaisers,"Amalienburg, Hofburg? ",niedrig,,,,
4,Antiken= und Mineralienkabinet,Ort_auf_Route,AntikenMineralienkabinet,Augustinergang,,,,,
5,Burg,Ort_auf_Route,Burg,Hofburg,hoch,16.366111,48.206389,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Wiener_Karlskirche&language=de&params=48.198247222222_N_16.371422222222_E_region:AT-9_type:landmark
6,Burg,Ort_auf_Route,Burg,Hofburg,hoch,16.366111,48.206389,KulturwikiOGD,
7,Hofbiblio= thek=Gebäudes am Josephsplatze,Ort_im_Blickfeld,Hofbibliotek=Gebäudes,"Josefsplatz 1, heute: Prunksaal",hoch,16.366641,48.206166,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Prunksaal_der_%C3%96sterreichischen_Nationalbibliothek&language=de&params=48.206166_N_16.366641_E_region:AT-9_type:landmark
8,Palais des Erzherzogs Karl,Ort_auf_Route,Palais des  Erzherzogs Karl,"01., Seilerstätte 30",niedrig,16.373083,48.20375,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Palais_Erzherzog_Carl&language=de&params=48.20375_N_16.373083333333_E_region:AT-9_type:landmark
9,Palais des Erzherzogs Karl,Ort_auf_Route,Palais des  Erzherzogs Karl,"01., Seilerstätte 30",niedrig,16.373083,48.20375,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Palais_Erzherzog_Carl&language=de&params=48.20375_N_16.373083333333_E_region:AT-9_type:landmark
10,Burg= platze,Ort_auf_Route,Burgplatz,,hoch,16.36450003802901,48.20679359990539,QGIS - Estimation ,
11,Burg= platze,Ort_auf_Route,Burgplatz,,hoch,16.36450003802901,48.20679359990539,QGIS - Estimation ,
12,Burg= platze,Ort_auf_Route,Burgplatz,,hoch,16.3644986548132,48.20679511956491,QGIS-Estimation,
13,Volksgartens,Ort_im_Blickfeld,Volksgarten,"01., Volksgarten THESEUSTEMPEL",mittel,16.3617552379407,48.2079640584701,KulturwikiOGD,
14,Volksgartens,Ort_im_Blickfeld,Volksgarten,"01., Volksgarten THESEUSTEMPEL",niedrig,16.3617552379407,48.2079640584701,KulturwikiOGD,
15,Volksgartens,Ort_im_Blickfeld,Volksgarten,"01., Volksgarten THESEUSTEMPEL",,16.3617552379407,48.2079640584701,KulturwikiOGD,
