Index,NEUE_NAMEN,ADRESSE,Sicherheit,Longitude,Latitude,Quelle,URL
1,Burgplatz,,hoch,24.0560788387667,34.0932685992263,QGIS - Estimation ,
2,Burgthor,,niedrig,16.36359117,48.20730667,Gazetteer_Steinhausenplan_V5_auto,
3,kaiserlichen Stallungen,,,16.37611472,48.20751948,Gazetteer_Steinhausenplan_V5_manuell,
4,Gebäude der ungarischen Garde,"07., Museumstraße 7",,16.355278,48.205833,"Wikipedia, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Palais_Trautson&language=de&params=48.205833333333_N_16.355277777778_E_region:AT-9_type:landmark
7,KriminalGebäude,,,,,,
8,Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",,16.3330615633398,48.2762075206991,KulturwikiOGD,
9,Mariahilfer Hauptstraße,"15., Mariahilfer Straße 137",,16.3368835538601,48.1949193917739,KulturwikiOGD,
10,Schönbrunn,,,16.37037525,48.21017985,Gazetteer_Steinhausenplan_V5_auto,
11,Grenadierkaserne,Gumpendorferstraße 6-12,,16.361861,48.200944,"Truppendienst, GeoHack; unter: https://www.truppendienst.com/fileadmin/user_upload/TD_vor_50_Jahren/1991/Militaerische_Einrichtungen_Wiens_im_Wandel_der_Zeit__I_.pdf ,",https://geohack.toolforge.org/geohack.php?pagename=Getreidemarktkaserne&language=de&params=48.200763888889_N_16.361305555556_E_region:AT-9_type:landmark
12,Getreidemarkt,"06., Getreidemarkt 9 Obj. 4",,16.3641518633297,48.201064794712,KulturwikiOGD,
13,artesischen Brunnen,,,,,,
14,Akazien=Alleen,,,,,,
15,Wien,,,16.36501356,48.19925432,Gazetteer_Steinhausenplan_V5_manuell,
16,Kettenstege,nicht! Salztorbücke,sehr niedrig (f),,,,
17,der steinernen Brücke,a.k.a. Elisabethbrücke,,16.368694,48.200528,"Wien Geschichte Wiki, GeoHack",https://geohack.toolforge.org/geohack.php?pagename=Elisabethbr%C3%BCcke_(Wien)&language=de&params=48.200527777778_N_16.368694444444_E_dim:1000_region:AT-9_type:building
