NEUE_NAMEN,Longitude,Latitude
k. k. Burg,,
Burgplatz,,
Burgthor,16.36359117,48.20730667
kaiserlichen Stallungen,,
Gebäude der ungarischen Garde,,
Palais des  Fürsten Auersperg,,
Gebäude des  Geographischen (Militär=)Jnstituts,,
KriminalGebäude,,
Kahlengebirge,,
Mariahilfer Hauptstraße,,
Schönbrunn,16.37037525,48.21017985
Grenadierkaserne,,
Getreidemarkt,,
artesischen Brunnen,,
Akazien=Alleen,,
Wien,,
Kettenstege,,
der steinernen Brücke,,
Polytechnische Jnstitut,,
Karlskirche,,
Burg,,
RitterCeremoniensaal,,
Appartements Sr Majestät des Kaisers,,
Rittersaal,,
AntikenMineralienkabinet,,
astronomische Thurm,,
Burg,,
Hofbibliotek=Gebäudes,,
Josephsplatze,,
Palais des  Erzherzogs Karl,,
Burgplatz,,
Volksgarten,,
Burggarten,,
Burggarten,,
Gewächshäuser,,
Wall,16.37638786,48.20958737
Palais des  Erzherzogs Karl,,
Spitalplatze,,
Hofbauamte,,
Kärnthnerthor=Theater,,
Wall,16.37638786,48.20958737
Kärnthnerthore,,
Kärnthnerstraße,,
Wieden,,
Baden,,
Starhembergische Freihaus,,
Polytechnische Jnstitut,,
Karlskirche,,
Starhembergische Freihaus,,
Wienerwaldes,,
Schneeberg,,
Karlskirche,,
Sommerpalais des  Fürsten  Schwarzenberg,,
Belvedere,,
Bahnhofe,,
Belvedere,,
Kirche und Kloster der Salesianerinnen,,
Schwarzenbergischen Palais,,
Kaserne,,
Palais,,
Stadtgraben,,
Palais Kolowrat,,
Artillerie=Haupt=Zeugamt,,
Karolinenthor,,
Stadtgraben,,
Seilerstätte,,
Weihburggasse,16.37273416,48.20698073
Mineralwässer=Trinkkur=Anstalt,,
Rennweg,16.37969495,48.19712841
Palais des Herzogs von Koburg,,
orientalische Akademie,,
Stubenthor,16.37858988,48.20773869
Wollzeile,16.37533411,48.20871326
große Steinbrücke,,
Wien,,
Landstraße,,
zur Linie (Barriere) von St. Marx,,
Ungarn,,
Münzgebäude,,
Neustädter ,,
Kanal,,
Stückbohrerei,,
Jnvalidenhaus,,
Kanalbassin,,
Stubenthor,16.37858988,48.20773869
Kloster und Kirche der  Dominikaner,,
Ravelin,,
Hauptmauth,,
Fahrpost,,
Hauptmauth,,
Glacis,,
Zollamt,,
Ravelin,,
Donaukanal,,
Kahlengebirge,,
Praters,,
Leopoldstadt,16.37881416,48.21261937
Ferdinandsbrücke,,
Rothenthurm=Thore,,
Taborstraße,,
Tabor,,
Mähren,,
Böhmen,,
Jägerzeile,,
Donau,,
Kornspeicher,,
Franzensbrücke,,
. Bastei,,
unter den  Weißgärbern,16.3884228,48.21224095
Erdberg,,
Rothenthurm=Thore,,
Laurenzer=Gasse,,
Laurenzerhof,,
Staats=Buchhaltungen,,
Müllerische Palais,,
Leopoldstadt,16.37881416,48.21261937
Dianabad,,
Karls=Kettenbrücke,,
Schanzl,,
Fischmarkt,,
St. Ruprechtstiege,,
Ravelin,,
Fischerthore,,
Salzgries,,
Polizeihaus,,
Grenadierkaserne,,
Stabsstockhaus,,
Elendbastei,,
Observatorium,,
Thore,,
Glacis,,
Augartenbrücke,,
Leopoldstadt,16.37881416,48.21261937
Augartens,,
Brigittenau,,
Roßau,,
Lichtenthal,,
Servitenkirche,,
Döbling,,
Kahlengebirge,,
Leopoldsberg,,
Herzogsburg der Babenberge,,
Kahlenberg,,
Josephsberg,,
Bastei,,
Arsenales,16.36726977,48.21374354
Proviantbäckerei,,
Schottenthore,16.36359523,48.2128214
Schottengasse,,
Freiung,16.36607743,48.2113306
Herrngasse,16.36549175,48.21000871
Währingergasse,16.35822875,48.21860117
Gewehrfabrik,,
Döbling,,
GarnisonsBettmagazin,,
fürstlichEsterhazische sogenannte rothe Haus,,
Jnfanterie=Kaserne,,
Alsergasse,16.35517063,48.21484394
Dornbach,,
Kriminale,,
Ravelin,,
Mölkerbastei,,
Teinfaltstraße,,
Palais Lubomirski,,
Franzensthor,,
Josephstadt,,
geographische Jnstitut,,
Kaisergasse,,
Josephstädter Theater,,
Kavallerie=Kaserne,,
Lerchenfeld,,
Löwelbastei,,
Paradies=Gärtchen,,
Cortis=Kaffehhause,,
Volksgarten,,
Schenkenstraße,,
Palais Liechtenstein,,
Staats=Kanzlei,,
Ballplatz,,
Bellaria,,
Burgplatz,,
Volksgarten,,
zweites Kaffehaus von Corti,,
Volksgarten,,
Theseustempel,,
Hof=Burgwache,,
Schweizerhof,,
Kunstvereine,,
