NEUE_NAMEN,SHAPE,ADRESSE
k. k. Burg,,
Burgplatz,,
Burgthor,,
kaiserlichen Stallungen,,
Gebäude der ungarischen Garde,,
Palais des  Fürsten Auersperg,,
Gebäude des  Geographischen (Militär=)Jnstituts,,
KriminalGebäude,,
Kahlengebirge,POINT (16.33306156333985 48.27620752069916),"19., Am Kahlenberg K Stephanie-Warte"
Mariahilfer Hauptstraße,POINT (16.336883553860115 48.19491939177395),"15., Mariahilfer Straße 137"
Schönbrunn,,
Grenadierkaserne,,
Getreidemarkt,POINT (16.364151863329745 48.201064794712096),"06., Getreidemarkt 9 Obj. 4"
artesischen Brunnen,,
Akazien=Alleen,,
Wien,,
Kettenstege,,
der steinernen Brücke,,
Polytechnische Jnstitut,,
Karlskirche,POINT (16.37186617386608 48.19824509903096),"04., Karlsplatz 10(KIRCHE)"
Burg,,
RitterCeremoniensaal,,
Appartements Sr Majestät des Kaisers,,
Rittersaal,,
AntikenMineralienkabinet,,
astronomische Thurm,,
Burg,,
Hofbibliotek=Gebäudes,,
Josephsplatze,,
Palais des  Erzherzogs Karl,,
Burgplatz,,
Volksgarten,POINT (16.36175523794077 48.20796405847014),"01., Volksgarten THESEUSTEMPEL"
Burggarten,POINT (16.36595721226683 48.20455507212498),"01., Burggarten P Burggartenrestaurant"
Burggarten,POINT (16.36595721226683 48.20455507212498),"01., Burggarten P Burggartenrestaurant"
Gewächshäuser,,
Wall,,
Palais des  Erzherzogs Karl,,
Spitalplatze,,
Hofbauamte,,
Kärnthnerthor=Theater,POINT (16.369772672546855 48.20388708094463),"01., Philharmonikerstraße 4"
Wall,,
Kärnthnerthore,,
Kärnthnerstraße,POINT (16.37156507147156 48.20689290247812),"01., Kärntner Straße VOR 11-15 STAND"
Wieden,POINT (16.36981687067863 48.1915082966871),"04., Waltergasse 10/1"
Baden,,
Starhembergische Freihaus,,
Polytechnische Jnstitut,,
Karlskirche,POINT (16.37186617386608 48.19824509903096),"04., Karlsplatz 10(KIRCHE)"
Starhembergische Freihaus,,
Wienerwaldes,POINT (16.234337092498322 48.22442655112753),"14., Knödelhüttenstraße 176"
Schneeberg,,
Karlskirche,POINT (16.37186617386608 48.19824509903096),"04., Karlsplatz 10(KIRCHE)"
Sommerpalais des  Fürsten  Schwarzenberg,,
Belvedere,POINT (16.380340127652488 48.19424811295102),"03., Prinz-Eugen-Straße 27 Obj. 8"
Bahnhofe,,
Belvedere,POINT (16.380340127652488 48.19424811295102),"03., Prinz-Eugen-Straße 27 Obj. 8"
Kirche und Kloster der Salesianerinnen,,
Schwarzenbergischen Palais,,
Kaserne,,
Palais,,
Stadtgraben,,
Palais Kolowrat,,
Artillerie=Haupt=Zeugamt,,
Karolinenthor,POINT (16.375623356483757 48.20528923170771),"01., Weihburggasse 26"
Stadtgraben,,
Seilerstätte,POINT (16.374361894254807 48.20480472681807),"01., Seilerstätte 22"
Weihburggasse,POINT (16.374771532126083 48.20593041361546),"01., Weihburggasse 18-20"
Mineralwässer=Trinkkur=Anstalt,,
Rennweg,POINT (16.392141649460786 48.19310095566648),"03., Eslarngasse 29"
Palais des Herzogs von Koburg,,
orientalische Akademie,,
Stubenthor,POINT (16.376276583298328 48.20862277651324),"01., Wollzeile 17"
Wollzeile,POINT (16.376389522715947 48.20834155448045),"01., Wollzeile 20"
große Steinbrücke,,
Wien,,
Landstraße,POINT (16.392549994163186 48.19242504251556),"03., Steingasse 38"
zur Linie (Barriere) von St. Marx,,
Ungarn,,
Münzgebäude,,
Neustädter ,,
Kanal,,
Stückbohrerei,POINT (16.384374670156795 48.20315477173671),"03., Linke Bahngasse 9"
Jnvalidenhaus,,
Kanalbassin,,
Stubenthor,POINT (16.376276583298328 48.20862277651324),"01., Wollzeile 17"
Kloster und Kirche der  Dominikaner,,
Ravelin,,
Hauptmauth,,
Fahrpost,,
Hauptmauth,,
Glacis,,
Zollamt,POINT (16.41082459861838 48.194942147948765),"03., Schnirchgasse 9"
Ravelin,,
Donaukanal,POINT (16.3950020299091 48.21135123303799),"02., Schüttelstraße 17A"
Kahlengebirge,POINT (16.33306156333985 48.27620752069916),"19., Am Kahlenberg K Stephanie-Warte"
Praters,POINT (16.414195198823666 48.205516257724696),"02., Meiereistraße 20"
Leopoldstadt,POINT (16.423993251728795 48.19766541152966),"02., Heustadlsteg 213"
Ferdinandsbrücke,,
Rothenthurm=Thore,,
Taborstraße,POINT (16.38222367344348 48.22202121190133),"02., Taborstraße 63"
Tabor,,
Mähren,,
Böhmen,,
Jägerzeile,,
Donau,POINT (16.416258411226355 48.22030842223218),"02., Kafkasteg R RESTAURANT"
Kornspeicher,,
Franzensbrücke,POINT (16.39131110066816 48.21317401525398),"02., Franzensbrücke 202"
. Bastei,POINT (16.371945115880457 48.207757987582276),"01., Singerstraße 2"
unter den  Weißgärbern,,
Erdberg,POINT (16.406936998390833 48.19484109363202),"03., Gestettengasse 36A"
Rothenthurm=Thore,,
Laurenzer=Gasse,POINT (16.36415569683369 48.18456411398187),"05., Hauslabgasse 21/5"
Laurenzerhof,,
Staats=Buchhaltungen,,
Müllerische Palais,,
Leopoldstadt,POINT (16.423993251728795 48.19766541152966),"02., Heustadlsteg 213"
Dianabad,POINT (16.37642189268371 48.213588305837256),"02., Obere Donaustraße 93"
Karls=Kettenbrücke,,
Schanzl,POINT (16.374937181267562 48.21363402354867),"01., Franz-Josefs-Kai 31/1"
Fischmarkt,POINT (16.37641595012802 48.2107148854791),"01., Fleischmarkt 3-5"
St. Ruprechtstiege,POINT (16.374430808795385 48.21228542778926),"01., Morzinplatz 1"
Ravelin,,
Fischerthore,,
Salzgries,POINT (16.372856189480476 48.212974028083316),"01., Salztorgasse 2"
Polizeihaus,,
Grenadierkaserne,,
Stabsstockhaus,,
Elendbastei,,
Observatorium,,
Thore,,
Glacis,,
Augartenbrücke,POINT (16.37032521081372 48.21879800173373),"02., Augartenbrücke 201"
Leopoldstadt,POINT (16.423993251728795 48.19766541152966),"02., Heustadlsteg 213"
Augartens,POINT (16.37579919318927 48.22563596577005),"02., Obere Augartenstraße 1 Obj. 44 WC-ANLAGE"
Brigittenau,POINT (16.375805904211965 48.23846267177948),"20., Leithastraße 16"
Roßau,,
Lichtenthal,,
Servitenkirche,POINT (16.363835558603242 48.22043322564001),"09., Servitengasse 9"
Döbling,POINT (16.333172621498953 48.26096541823598),"19., Cobenzlgasse 63"
Kahlengebirge,POINT (16.33306156333985 48.27620752069916),"19., Am Kahlenberg K Stephanie-Warte"
Leopoldsberg,POINT (16.346597409547787 48.27900072909564),"19., Am Leopoldsberg 1"
Herzogsburg der Babenberge,,
Kahlenberg,POINT (16.33306156333985 48.27620752069916),"19., Villenweg 58"
Josephsberg,,
Bastei,,
Arsenales,POINT (16.38914785316565 48.18197277664971),"03., Arsenal 19 BUNDESTHEATER-BÜHNE"
Proviantbäckerei,,
Schottenthore,POINT (16.365252690635817 48.212237583665775),"01., Freyung 6 Konvent"
Schottengasse,POINT (16.363197754961035 48.213248674922376),"01., Schottengasse 4"
Freiung,POINT (16.36478927815538 48.21157727790883),"01., Freyung Tiefgarage"
Herrngasse,POINT (16.36560682519424 48.209840541072396),"01., Herrengasse 10"
Währingergasse,POINT (16.316021287856156 48.23835031036943),"18., Wurzingergasse 7"
Gewehrfabrik,POINT (16.358331544138576 48.217020890050776),"09., Schwarzspanierstraße 17"
Döbling,POINT (16.333172621498953 48.26096541823598),"19., Cobenzlgasse 63"
GarnisonsBettmagazin,,
fürstlichEsterhazische sogenannte rothe Haus,,
Jnfanterie=Kaserne,,
Alsergasse,POINT (16.41639076947489 48.26278795751264),"21., Kalsergasse 22"
Dornbach,,
Kriminale,,
Ravelin,,
Mölkerbastei,POINT (16.362053242510527 48.21239403704929),"01., Mölker Bastei 8"
Teinfaltstraße,POINT (16.362714366658786 48.211441045644726),"01., Teinfaltstraße 7"
Palais Lubomirski,,
Franzensthor,POINT (16.362994498060424 48.211529113422294),"01., Rosengasse 8"
Josephstadt,POINT (16.34808163210091 48.21030937894918),"08., Fuhrmannsgasse 3"
geographische Jnstitut,,
Kaisergasse,POINT (16.260842566541672 48.15049534864708),"23., Kaserngasse 22"
Josephstädter Theater,,
Kavallerie=Kaserne,,
Lerchenfeld,POINT (16.344858318868162 48.20724507271033),"07., Lerchenfelder Straße 81"
Löwelbastei,POINT (16.36226416756972 48.209723003404136),"01., Volksgarten GAERTNERHAUS"
Paradies=Gärtchen,,
Cortis=Kaffehhause,,
Volksgarten,POINT (16.36175523794077 48.20796405847014),"01., Volksgarten THESEUSTEMPEL"
Schenkenstraße,POINT (16.36268435673424 48.210653381081045),"01., Schenkenstraße 8"
Palais Liechtenstein,,
Staats=Kanzlei,POINT (16.363772529622175 48.2083797886037),"01., Ballhausplatz 2"
Ballplatz,,
Bellaria,,
Burgplatz,,
Volksgarten,POINT (16.36175523794077 48.20796405847014),"01., Volksgarten THESEUSTEMPEL"
zweites Kaffehaus von Corti,,
Volksgarten,POINT (16.36175523794077 48.20796405847014),"01., Volksgarten THESEUSTEMPEL"
Theseustempel,POINT (16.36168623807803 48.208383057004575),"01., Volksgarten THESEUSTEMPEL"
Hof=Burgwache,,
Schweizerhof,POINT (16.36584321538764 48.20687606097441),"01., Hofburg B Schweizertrakt"
Kunstvereine,,
