Unnamed: 0,Index,NEUE_NAMEN,ADRESSE,Longitude,Latitude,Longitude_SH_autom,Latitude_SH_autom,Longitude_SH_manuell,Longitude_SH_manuell.1,Longitude_GeoHack,Latitude_GeoHack,Long_GoogleMaps,Lat_ GoogleMaps
1,1,Burgplatz,,,,,,,,,,,
2,2,Burgthor,,16.36359117,48.20730667,16.36359117,48.20730667,,,,,,
3,3,kaiserlichen Stallungen,,16.37611472,48.20751948,,,16.37611472,48.20751948,,,,
4,4,Gebäude der ungarischen Garde,"07., Museumstraße 7",16.355278,48.205833,,,,,16.355278,48.205833,,
7,7,KriminalGebäude,,,,,,,,,,,
8,8,Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",16.3330615633398,48.2762075206991,,,,,,,,
9,9,Mariahilfer Hauptstraße,"15., Mariahilfer Straße 137",16.3368835538601,48.1949193917739,,,,,,,,
10,10,Schönbrunn,,16.37037525,48.21017985,16.37037525,48.21017985,,,,,,
11,11,Grenadierkaserne,Gumpendorferstraße 6-12,16.361861,48.200944,,,,,16.361861,48.200944,,
12,12,Getreidemarkt,"06., Getreidemarkt 9 Obj. 4",16.3641518633297,48.201064794712,,,,,,,,
13,13,artesischen Brunnen,,,,,,,,,,,
14,14,Akazien=Alleen,,,,,,,,,,,
15,15,Wien,,16.36501356,48.19925432,,,16.36501356,48.19925432,,,,
16,16,Kettenstege,Salztorbücke,16.375,48.214167,,,,,16.375,48.214167,,
17,17,der steinernen Brücke,,16.368694,48.200528,,,,,16.368694,48.200528,,
18,18,Polytechnische Jnstitut,"04., Karlsplatz 13",16.369912,48.198888,,,,,16.369912,48.198888,,
19,19,Karlskirche,"04., Karlsplatz 10(KIRCHE)",16.371866173866,48.1982450990309,,,,,,,,
20,20,Burg,Hofburg,16.366111,48.206389,,,,,16.366111,48.206389,,
22,22,Appartements Sr Majestät des Kaisers,"Amalienburg, Hofburg? ",,,,,,,,,,
23,23,Rittersaal,"Zeremoniensaaltrakt, Hofburg",16.366111,48.206389,,,,,,,,
25,25,astronomische Thurm,,,,,,,,,,,
26,26,Burg,Hofburg,16.366111,48.206389,,,,,,,,
28,28,Josephsplatze,,16.367182,48.206511,,,,,16.367182,48.206511,,
30,30,Burgplatz,,,,,,,,,,,
31,31,Volksgarten,"01., Volksgarten THESEUSTEMPEL",16.3617552379407,48.2079640584701,,,,,,,,
32,32,Burggarten,"01., Burggarten P Burggartenrestaurant",16.3659572122668,48.2045550721249,,,,,,,,
33,33,Burggarten,"01., Burggarten P Burggartenrestaurant",16.3659572122668,48.2045550721249,,,,,,,,
34,34,Gewächshäuser,Schmetterlingshaus,16.366667,48.205278,,,,,16.366667,48.205278,,
35,35,Wall,,16.37638786,48.20958737,16.37638786,48.20958737,,,,,,
37,37,Spitalplatze,"01., Albertinaplatz",16.369026,48.204306,,,,,16.369026,48.204306,,
38,38,Hofbauamte,"01., beim Albertinaplatz in der Wand? der Augustinerbastei",,,,,,,,,,
39,39,Kärnthnerthor=Theater,"01., Philharmonikerstraße 4",16.3697726725468,48.2038870809446,,,,,,,,
40,40,Wall,,16.37638786,48.20958737,16.37638786,48.20958737,,,,,,
41,41,Kärnthnerthore,"01, Kärntner Straße 51",16.3705344576716,48.2033034339512,,,,,,,16.3705344576716,48.2033034339512
