NEUE_NAMEN,Longitude,Latitude
kaiserlichen Zeughauses,,
Renngasse Nr. 140,,
Renngasse,16.36707232,48.21257081
hohe Brücke,,
tiefen Graben,16.36860767,48.21273407
Schwertgasse,,
Maria Stiegen,,
Salzgries,16.37164505,48.21324642
Maria am Gestade,,
Stoß im Himmel,,
Wipplingerstraße,16.37125552,48.21164561
Rathhaus,16.37105189,48.2120495
Hofkanzlei,,
Quergasse,,
Judenplatz,16.369586,48.21159391
den Hof. Kirche zu den  7 Chören der Engel,,
bürgerliche Zeughaus,,
Bognergasse,16.36809572,48.21021688
Seitzerhof,,
Spenglergasse,16.36786198,48.21006182
Milchgäßchen,,
Petersplatz,,
Peterskirche,,
PolizeiOberdirektion,,
Feuerwache,,
Goldschmiedgasse,,
Stephansplatz,,
Gerolds  Buchhandlung,,
Stephansdom,,
Stephansplatz,,
Bischofgasse,,
Wollzeile,16.37533411,48.20871326
Schranders ,16.37217105,48.21109399
Kleidermagazin,,
BriefPost,,
Schaumburgs eleganter Bücherladen,,
Essiggäßchen,,
Bäckerstraße,,
Universitätsplatz,,
Universitäts=Gebäude,,
Sternwarte,,
Konvikt,,
Universitätshaus,16.37723433,48.20918577
Schulgasse,16.37085685,48.2112754
Dominkanerplatz,,
Universitätsbibllothek,,
Fahrpost,,
griechische Kirche,,
Hauptmauth,,
Hôtel zur Stadt London,,
Währingergasse,16.35822875,48.21860117
Palais Dietrichstein,,
Josephinum,,
Waisenhaus,,
