index,NEUE_NAMEN,Toponym,Sicherheit,Longitude,Latitude,MATCH_SCORE
0,k. k. Burg,,,,,
1,Burgplatz,,,,,
2,Burgthor,Burg Thor,hoch,16.36359117,48.20730667,94.0
3,kaiserlichen Stallungen,,,,,
4,Gebäude der ungarischen Garde,,,,,
5,Palais des  Fürsten Auersperg,,,,,
6,Gebäude des  Geographischen (Militär=)Jnstituts,,,,,
7,KriminalGebäude,,,,,
8,Kahlengebirge,,,,,
9,Mariahilfer Hauptstraße,,,,,
10,Schönbrunn,Schön Brun,hoch,16.37037525,48.21017985,90.0
11,Grenadierkaserne,,,,,
12,Getreidemarkt,,,,,
13,artesischen Brunnen,,,,,
14,Akazien=Alleen,,,,,
15,Wien,,,,,
16,Kettenstege,,,,,
17,der steinernen Brücke,,,,,
18,Polytechnische Jnstitut,,,,,
19,Karlskirche,,,,,
20,Burg,,,,,
21,RitterCeremoniensaal,,,,,
22,Appartements Sr Majestät des Kaisers,,,,,
23,Rittersaal,,,,,
24,AntikenMineralienkabinet,,,,,
25,astronomische Thurm,,,,,
26,Burg,,,,,
27,Hofbibliotek=Gebäudes,,,,,
28,Josephsplatze,,,,,
29,Palais des  Erzherzogs Karl,,,,,
30,Burgplatz,,,,,
31,Volksgarten,,,,,
32,Burggarten,,,,,
33,Burggarten,,,,,
34,Gewächshäuser,,,,,
35,Wall,<...>: Wal<...>,niedrig,16.37638786,48.20958737,86.0
36,Palais des  Erzherzogs Karl,,,,,
37,Spitalplatze,,,,,
38,Hofbauamte,,,,,
39,Kärnthnerthor=Theater,,,,,
40,Wall,<...>: Wal<...>,niedrig,16.37638786,48.20958737,86.0
41,Kärnthnerthore,,,,,
42,Kärnthnerstraße,,,,,
43,Wieden,,,,,
44,Baden,,,,,
45,Starhembergische Freihaus,,,,,
46,Polytechnische Jnstitut,,,,,
47,Karlskirche,,,,,
48,Starhembergische Freihaus,,,,,
49,Wienerwaldes,,,,,
50,Schneeberg,,,,,
51,Karlskirche,,,,,
52,Sommerpalais des  Fürsten  Schwarzenberg,,,,,
53,Belvedere,,,,,
54,Bahnhofe,,,,,
55,Belvedere,,,,,
56,Kirche und Kloster der Salesianerinnen,,,,,
57,Schwarzenbergischen Palais,,,,,
58,Kaserne,,,,,
59,Palais,,,,,
60,Stadtgraben,,,,,
61,Palais Kolowrat,,,,,
62,Artillerie=Haupt=Zeugamt,,,,,
63,Karolinenthor,,,,,
64,Stadtgraben,,,,,
65,Seilerstätte,,,,,
66,Weihburggasse,Weyh=Burg=Gassen,hoch,16.37273416,48.20698073,83.0
67,Mineralwässer=Trinkkur=Anstalt,,,,,
68,Rennweg,Renn=Wege.,mittel,16.37969495,48.19712841,88.0
69,Palais des Herzogs von Koburg,,,,,
70,orientalische Akademie,,,,,
71,Stubenthor,Stuebenthor.,hoch,16.37858988,48.20773869,95.0
72,Wollzeile,Woll=Zeill.,hoch,16.37533411,48.20871326,84.0
73,große Steinbrücke,,,,,
74,Wien,,,,,
75,Landstraße,,,,,
76,zur Linie (Barriere) von St. Marx,,,,,
77,Ungarn,,,,,
78,Münzgebäude,,,,,
79,Neustädter ,,,,,
80,Kanal,,,,,
81,Stückbohrerei,,,,,
82,Jnvalidenhaus,,,,,
83,Kanalbassin,,,,,
84,Stubenthor,Stuebenthor.,hoch,16.37858988,48.20773869,95.0
85,Kloster und Kirche der  Dominikaner,,,,,
86,Ravelin,,,,,
87,Hauptmauth,,,,,
88,Fahrpost,,,,,
89,Hauptmauth,,,,,
90,Glacis,,,,,
91,Zollamt,,,,,
92,Ravelin,,,,,
93,Donaukanal,,,,,
94,Kahlengebirge,,,,,
95,Praters,,,,,
96,Leopoldstadt,LEO POLD STADT,hoch,16.37881416,48.21261937,92.0
97,Ferdinandsbrücke,,,,,
98,Rothenthurm=Thore,,,,,
99,Taborstraße,,,,,
100,Tabor,,,,,
101,Mähren,,,,,
102,Böhmen,,,,,
103,Jägerzeile,,,,,
104,Donau,,,,,
105,Kornspeicher,,,,,
106,Franzensbrücke,,,,,
107,. Bastei,,,,,
108,unter den  Weißgärbern,unter den Weisgarbern,hoch,16.3884228,48.21224095,88.0
109,Erdberg,,,,,
110,Rothenthurm=Thore,,,,,
111,Laurenzer=Gasse,,,,,
112,Laurenzerhof,,,,,
113,Staats=Buchhaltungen,,,,,
114,Müllerische Palais,,,,,
115,Leopoldstadt,LEO POLD STADT,hoch,16.37881416,48.21261937,92.0
116,Dianabad,,,,,
117,Karls=Kettenbrücke,,,,,
118,Schanzl,,,,,
119,Fischmarkt,,,,,
120,St. Ruprechtstiege,,,,,
121,Ravelin,,,,,
122,Fischerthore,,,,,
123,Salzgries,,,,,
124,Polizeihaus,,,,,
125,Grenadierkaserne,,,,,
126,Stabsstockhaus,,,,,
127,Elendbastei,,,,,
128,Observatorium,,,,,
129,Thore,,,,,
130,Glacis,,,,,
131,Augartenbrücke,,,,,
132,Leopoldstadt,LEO POLD STADT,hoch,16.37881416,48.21261937,92.0
133,Augartens,,,,,
134,Brigittenau,,,,,
135,Roßau,,,,,
136,Lichtenthal,,,,,
137,Servitenkirche,,,,,
138,Döbling,,,,,
139,Kahlengebirge,,,,,
140,Leopoldsberg,,,,,
141,Herzogsburg der Babenberge,,,,,
142,Kahlenberg,,,,,
143,Josephsberg,,,,,
144,Bastei,,,,,
145,Arsenales,Arsenal.,mittel,16.36726977,48.21374354,88.0
146,Proviantbäckerei,,,,,
147,Schottenthore,Schotten Thor,hoch,16.36359523,48.2128214,92.0
148,Schottengasse,,,,,
149,Freiung,FREYUNG.,hoch,16.36607743,48.2113306,86.0
150,Herrngasse,Herrn Gassen,hoch,16.36549175,48.21000871,91.0
151,Währingergasse,Wäringen=Gassen,hoch,16.35822875,48.21860117,83.0
152,Gewehrfabrik,,,,,
153,Döbling,,,,,
154,GarnisonsBettmagazin,,,,,
155,fürstlichEsterhazische sogenannte rothe Haus,,,,,
156,Jnfanterie=Kaserne,,,,,
157,Alsergasse,Alster Gassen,hoch,16.35517063,48.21484394,87.0
158,Dornbach,,,,,
159,Kriminale,,,,,
160,Ravelin,,,,,
161,Mölkerbastei,,,,,
162,Teinfaltstraße,,,,,
163,Palais Lubomirski,,,,,
164,Franzensthor,,,,,
165,Josephstadt,,,,,
166,geographische Jnstitut,,,,,
167,Kaisergasse,,,,,
168,Josephstädter Theater,,,,,
169,Kavallerie=Kaserne,,,,,
170,Lerchenfeld,,,,,
171,Löwelbastei,,,,,
172,Paradies=Gärtchen,,,,,
173,Cortis=Kaffehhause,,,,,
174,Volksgarten,,,,,
175,Schenkenstraße,,,,,
176,Palais Liechtenstein,,,,,
177,Staats=Kanzlei,,,,,
178,Ballplatz,,,,,
179,Bellaria,,,,,
180,Burgplatz,,,,,
181,Volksgarten,,,,,
182,zweites Kaffehaus von Corti,,,,,
183,Volksgarten,,,,,
184,Theseustempel,,,,,
185,Hof=Burgwache,,,,,
186,Schweizerhof,,,,,
187,Kunstvereine,,,,,
