NEUE_NAMEN,ADRESSE,Longitude,Latitude,Longitude_y,Latitude_y
k. k. Burg,,,,,
Burgplatz,,,,,
Burgthor,,16.36359117,48.20730667,16.36359117,48.20730667
kaiserlichen Stallungen,,,,,
Gebäude der ungarischen Garde,,,,,
Palais des  Fürsten Auersperg,,,,,
Gebäude des  Geographischen (Militär=)Jnstituts,,,,,
KriminalGebäude,,,,,
Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",16.3330615633398,48.2762075206991,,
Mariahilfer Hauptstraße,"15., Mariahilfer Straße 137",16.3368835538601,48.1949193917739,,
Schönbrunn,,16.37037525,48.21017985,16.37037525,48.21017985
Grenadierkaserne,,,,,
Getreidemarkt,"06., Getreidemarkt 9 Obj. 4",16.3641518633297,48.201064794712,,
artesischen Brunnen,,,,,
Akazien=Alleen,,,,,
Wien,,,,,
Kettenstege,,,,,
der steinernen Brücke,,,,,
Polytechnische Jnstitut,,,,,
Karlskirche,"04., Karlsplatz 10(KIRCHE)",16.371866173866,48.1982450990309,,
Burg,,,,,
RitterCeremoniensaal,,,,,
Appartements Sr Majestät des Kaisers,,,,,
Rittersaal,,,,,
AntikenMineralienkabinet,,,,,
astronomische Thurm,,,,,
Burg,,,,,
Hofbibliotek=Gebäudes,,,,,
Josephsplatze,,,,,
Palais des  Erzherzogs Karl,,,,,
Burgplatz,,,,,
Volksgarten,"01., Volksgarten THESEUSTEMPEL",16.3617552379407,48.2079640584701,,
Burggarten,"01., Burggarten P Burggartenrestaurant",16.3659572122668,48.2045550721249,,
Burggarten,"01., Burggarten P Burggartenrestaurant",16.3659572122668,48.2045550721249,,
Gewächshäuser,,,,,
Wall,,16.37638786,48.20958737,16.37638786,48.20958737
Palais des  Erzherzogs Karl,,,,,
Spitalplatze,,,,,
Hofbauamte,,,,,
Kärnthnerthor=Theater,"01., Philharmonikerstraße 4",16.3697726725468,48.2038870809446,,
Wall,,16.37638786,48.20958737,16.37638786,48.20958737
Kärnthnerthore,,,,,
Kärnthnerstraße,"01., Kärntner Straße VOR 11-15 STAND",16.3715650714715,48.2068929024781,,
Wieden,"04., Waltergasse 10/1",16.3698168706786,48.1915082966871,,
Baden,,,,,
Starhembergische Freihaus,,,,,
Polytechnische Jnstitut,,,,,
Karlskirche,"04., Karlsplatz 10(KIRCHE)",16.371866173866,48.1982450990309,,
Starhembergische Freihaus,,,,,
Wienerwaldes,"14., Knödelhüttenstraße 176",16.2343370924983,48.2244265511275,,
Schneeberg,,,,,
Karlskirche,"04., Karlsplatz 10(KIRCHE)",16.371866173866,48.1982450990309,,
Sommerpalais des  Fürsten  Schwarzenberg,,,,,
Belvedere,"03., Prinz-Eugen-Straße 27 Obj. 8",16.3803401276524,48.194248112951,,
Bahnhofe,,,,,
Belvedere,"03., Prinz-Eugen-Straße 27 Obj. 8",16.3803401276524,48.194248112951,,
Kirche und Kloster der Salesianerinnen,,,,,
Schwarzenbergischen Palais,,,,,
Kaserne,,,,,
Palais,,,,,
Stadtgraben,,,,,
Palais Kolowrat,,,,,
Artillerie=Haupt=Zeugamt,,,,,
Karolinenthor,"01., Weihburggasse 26",16.3756233564837,48.2052892317077,,
Stadtgraben,,,,,
Seilerstätte,"01., Seilerstätte 22",16.3743618942548,48.204804726818,,
Weihburggasse,"01., Weihburggasse 18-20",16.374771532126,48.2059304136154,16.37273416,48.20698073
Mineralwässer=Trinkkur=Anstalt,,,,,
Rennweg,"03., Eslarngasse 29",16.3921416494607,48.1931009556664,16.37969495,48.19712841
Palais des Herzogs von Koburg,,,,,
orientalische Akademie,,,,,
Stubenthor,"01., Wollzeile 17",16.3762765832983,48.2086227765132,16.37858988,48.20773869
Wollzeile,"01., Wollzeile 20",16.3763895227159,48.2083415544804,16.37533411,48.20871326
große Steinbrücke,,,,,
Wien,,,,,
Landstraße,"03., Steingasse 38",16.3925499941631,48.1924250425155,,
zur Linie (Barriere) von St. Marx,,,,,
Ungarn,,,,,
Münzgebäude,,,,,
Neustädter ,,,,,
Kanal,,,,,
Stückbohrerei,"03., Linke Bahngasse 9",16.3843746701567,48.2031547717367,,
Jnvalidenhaus,,,,,
Kanalbassin,,,,,
Stubenthor,"01., Wollzeile 17",16.3762765832983,48.2086227765132,16.37858988,48.20773869
Kloster und Kirche der  Dominikaner,,,,,
Ravelin,,,,,
Hauptmauth,,,,,
Fahrpost,,,,,
Hauptmauth,,,,,
Glacis,,,,,
Zollamt,"03., Schnirchgasse 9",16.4108245986183,48.1949421479487,,
Ravelin,,,,,
Donaukanal,"02., Schüttelstraße 17A",16.3950020299091,48.2113512330379,,
Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",16.3330615633398,48.2762075206991,,
Praters,"02., Meiereistraße 20",16.4141951988236,48.2055162577246,,
Leopoldstadt,"02., Heustadlsteg 213",16.4239932517287,48.1976654115296,16.37881416,48.21261937
Ferdinandsbrücke,,,,,
Rothenthurm=Thore,,,,,
Taborstraße,"02., Taborstraße 63",16.3822236734434,48.2220212119013,,
Tabor,,,,,
Mähren,,,,,
Böhmen,,,,,
Jägerzeile,,,,,
Donau,"02., Kafkasteg R RESTAURANT",16.4162584112263,48.2203084222321,,
Kornspeicher,,,,,
Franzensbrücke,"02., Franzensbrücke 202",16.3913111006681,48.2131740152539,,
. Bastei,"01., Singerstraße 2",16.3719451158804,48.2077579875822,,
unter den  Weißgärbern,,16.3884228,48.21224095,16.3884228,48.21224095
Erdberg,"03., Gestettengasse 36A",16.4069369983908,48.194841093632,,
Rothenthurm=Thore,,,,,
Laurenzer=Gasse,"05., Hauslabgasse 21/5",16.3641556968336,48.1845641139818,,
Laurenzerhof,,,,,
Staats=Buchhaltungen,,,,,
Müllerische Palais,,,,,
Leopoldstadt,"02., Heustadlsteg 213",16.4239932517287,48.1976654115296,16.37881416,48.21261937
Dianabad,"02., Obere Donaustraße 93",16.3764218926837,48.2135883058372,,
Karls=Kettenbrücke,,,,,
Schanzl,"01., Franz-Josefs-Kai 31/1",16.3749371812675,48.2136340235486,,
Fischmarkt,"01., Fleischmarkt 3-5",16.376415950128,48.2107148854791,,
St. Ruprechtstiege,"01., Morzinplatz 1",16.3744308087953,48.2122854277892,,
Ravelin,,,,,
Fischerthore,,,,,
Salzgries,"01., Salztorgasse 2",16.3728561894804,48.2129740280833,,
Polizeihaus,,,,,
Grenadierkaserne,,,,,
Stabsstockhaus,,,,,
Elendbastei,,,,,
Observatorium,,,,,
Thore,,,,,
Glacis,,,,,
Augartenbrücke,"02., Augartenbrücke 201",16.3703252108137,48.2187980017337,,
Leopoldstadt,"02., Heustadlsteg 213",16.4239932517287,48.1976654115296,16.37881416,48.21261937
Augartens,"02., Obere Augartenstraße 1 Obj. 44 WC-ANLAGE",16.3757991931892,48.22563596577,,
Brigittenau,"20., Leithastraße 16",16.3758059042119,48.2384626717794,,
Roßau,,,,,
Lichtenthal,,,,,
Servitenkirche,"09., Servitengasse 9",16.3638355586032,48.22043322564,,
Döbling,"19., Cobenzlgasse 63",16.3331726214989,48.2609654182359,,
Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",16.3330615633398,48.2762075206991,,
Leopoldsberg,"19., Am Leopoldsberg 1",16.3465974095477,48.2790007290956,,
Herzogsburg der Babenberge,,,,,
Kahlenberg,"19., Villenweg 58",16.3330615633398,48.2762075206991,,
Josephsberg,,,,,
Bastei,,,,,
Arsenales,"03., Arsenal 19 BUNDESTHEATER-BÜHNE",16.3891478531656,48.1819727766497,16.36726977,48.21374354
Proviantbäckerei,,,,,
Schottenthore,"01., Freyung 6 Konvent",16.3652526906358,48.2122375836657,16.36359523,48.2128214
Schottengasse,"01., Schottengasse 4",16.363197754961,48.2132486749223,,
Freiung,"01., Freyung Tiefgarage",16.3647892781553,48.2115772779088,16.36607743,48.2113306
Herrngasse,"01., Herrengasse 10",16.3656068251942,48.2098405410723,16.36549175,48.21000871
Währingergasse,"23., Pühringergasse 8",16.3241949186933,48.1474846637227,16.35822875,48.21860117
Gewehrfabrik,"09., Schwarzspanierstraße 17",16.3583315441385,48.2170208900507,,
Döbling,"19., Cobenzlgasse 63",16.3331726214989,48.2609654182359,,
GarnisonsBettmagazin,,,,,
fürstlichEsterhazische sogenannte rothe Haus,,,,,
Jnfanterie=Kaserne,,,,,
Alsergasse,"21., Kalsergasse 22",16.4163907694748,48.2627879575126,16.35517063,48.21484394
Dornbach,,,,,
Kriminale,,,,,
Ravelin,,,,,
Mölkerbastei,"01., Mölker Bastei 8",16.3620532425105,48.2123940370492,,
Teinfaltstraße,"01., Teinfaltstraße 7",16.3627143666587,48.2114410456447,,
Palais Lubomirski,,,,,
Franzensthor,"01., Rosengasse 8",16.3629944980604,48.2115291134222,,
Josephstadt,"08., Fuhrmannsgasse 3",16.3480816321009,48.2103093789491,,
geographische Jnstitut,,,,,
Kaisergasse,"23., Kaserngasse 22",16.2608425665416,48.150495348647,,
Josephstädter Theater,,,,,
Kavallerie=Kaserne,,,,,
Lerchenfeld,"07., Lerchenfelder Straße 81",16.3448583188681,48.2072450727103,,
Löwelbastei,"01., Volksgarten GAERTNERHAUS",16.3622641675697,48.2097230034041,,
Paradies=Gärtchen,,,,,
Cortis=Kaffehhause,,,,,
Volksgarten,"01., Volksgarten THESEUSTEMPEL",16.3617552379407,48.2079640584701,,
Schenkenstraße,"01., Schenkenstraße 8",16.3626843567342,48.210653381081,,
Palais Liechtenstein,,,,,
